Recipient,DI_dest_orgtype,DI_dest_ngotype,DI_dest_deliverychannel,destinationObjects_Organization.id
Press Trust / IDI,Other,,Other,1354
PRIMA SYNERGIE,Other,,Other,3401
Primate's World Relief and Development Fund,NGOs,,NGOs and CSOs,3475
Prime Foundation,NGOs,National NGO,NGOs and CSOs,7657
Primeros Auxilios LUZ,NGOs,Local/National NGO,NGOs and CSOs,10956
"PRIO - International Peace Research Institute, Oslo",Academia/think/research,,NGOs and CSOs,1510
Priority Worldwide Services,Private sector corporations,,Other,9280
PRISMA,NGOs,,,11486
Private (individuals & organizations),Private individual/organisation,,NGOs and CSOs,4543
Private Agencies Collaborating Together,NGOs,,NGOs and CSOs,2
Private Voluntary Organizations,Other,,Other,2030
Priyanka (India) Pvt. Ltd,,,,10109
Pro Familia Switzerland,NGOs,International NGO,NGOs and CSOs,10492
"Pro Pac, Inc.",Private sector corporations,,Other,227
Professionals in Humanitarian Assistance and Protection,NGOs,International NGO,NGOs and CSOs,6587
Progedes-Nicaragua,Other,,Other,4634
Programa de Reducción del Riesgo de Desastres,National government,,Public Sector,834
Programme Against Malnutrition,Undefined,,NGOs and CSOs,3375
Programme de Promotion de Soins de Santé Primaires (PPSSP),Undefined,,Other,2257
Programme for Emergency Education and Reconstruction,Other,,Other,3150
Programme National des Cantines Scolaires,Other,,Other,12079
Progressio,NGOs,,NGOs and CSOs,4336
Progressive Interventions,Other,,Other,4712
Project Aparajita - VHAI,NGOs,,NGOs and CSOs,4740
Project Concern International,NGOs,International NGO,NGOs and CSOs,4898
Project HOPE,NGOs,,NGOs and CSOs,3605
PROMAN,Private sector corporations,,Other,6121
PROMARK,Private sector corporations,,Other,583
Promoting Recovery in Zimbabwe,NGOs,,NGOs and CSOs,5348
Protecting Through Education,NGOs,International NGO,NGOs and CSOs,6510
Protos,NGOs,,NGOs and CSOs,2308
Protracted Relief Programme Partners (Zimbabwe),NGOs,,NGOs and CSOs,4998
Provea - Venezolano de Educación-Acción en Derechos Humanos,NGOs,,NGOs and CSOs,486
ProVention,Private individual/organisation,,NGOs and CSOs,3849
Proximity Designs,NGOs,International NGO,NGOs and CSOs,2434
Proximity Designs (formerly International Development Enterprises),Private sector corporations,,Other,NA
Proyecto Esperanza,NGOs,,,10255
PSF-France/Clermont-Ferrand,Other,,Other,3842
PSO,Other,,Other,4621
PSR / IPPNW,Private individual/organisation,,NGOs and CSOs,5290
Psycho Social Counselling Center for Women,NGOs,National NGO,NGOs and CSOs,6765
Psykisk Helsevern Á˜stfold HF v/ Norum,NGOs,,,NA
Psykisk Helsevern í˜stfold HF v/ Norum,NGOs,,NGOs and CSOs,NA
Psykisk Helsevern Østfold HF v/ Norum,NGOs,,,4378
PTM - Paz y Tercer Mundo,NGOs,,NGOs and CSOs,2167
Public Accounts Committee,Private individual/organisation,,NGOs and CSOs,4350
Public Affairs Committee,Private individual/organisation,,NGOs and CSOs,2506
Public Aid Organization,NGOs,National NGO,NGOs and CSOs,6685
Public Health Initiative Liberia,Private individual/organisation,,NGOs and CSOs,6693
PUMP AID,NGOs,,NGOs and CSOs,3464
Puntland Minority Women Development Organisation,NGOs,Local NGO,NGOs and CSOs,6148
PUNTO SUD,Academia/think/research,,NGOs and CSOs,3248
Purdue University,Academia/think/research,,NGOs and CSOs,9270
Purpose Foundation,Foundations,,NGOs and CSOs,652
Père Jaar,Other,,Other,4158
Qandil Swedish Humanitarian Aid Organization,NGOs,,NGOs and CSOs,4738
Qatar Charity,NGOs,Southern International NGO,NGOs and CSOs,1418
Qatar Red Crescent Society,Red Cross,,RCRC,2723
"QED Limited, LLC",Private sector corporations,,Other,5814
Quaker United Nations Office,NGOs,,NGOs and CSOs,1431
Questscope,NGOs,Southern International NGO,NGOs and CSOs,2436
Rabbis for Human Rights,Private individual/organisation,,NGOs and CSOs,2597
RABT Development Organization,NGOs,Local NGO,NGOs and CSOs,972
Radanar Ayar Association,NGOs,,NGOs and CSOs,4360
Radiant Logistics,Private sector corporations,,Other,12021
Radio SAWA,Private sector corporations,,Other,11
Radisson SAS,Private sector corporations,,Other,3707
Raf-Thani Foundation,Foundations,,NGOs and CSOs,NA
Rahma International Society,NGOs,International NGO,NGOs and CSOs,7283
RAHMA Islamic Relief,,,,11415
Rahma Islamic Relief Fund,NGOs,,NGOs and CSOs,NA
Rahmo Rehabilitation Organisation,NGOs,,NGOs and CSOs,3069
Rainbow Gateway,Other,,Other,2800
Rainwater Association of Somalia,Other,,Other,1888
Ramakrishna Mission,NGOs,Southern International NGO,NGOs and CSOs,6956
Raoul Wallenberg Institute of Human Rights and Humanitarian Law,Academia/think/research,,NGOs and CSOs,842
Rape Crisis Centre,NGOs,,NGOs and CSOs,4079
Raqeep Organization for Human Rights,NGOs,,NGOs and CSOs,5992
Rasawad Welfare Association,Private individual/organisation,,NGOs and CSOs,1136
Ratana Metta Organization,NGOs,National NGO,NGOs and CSOs,7438
Rawa Association,NGOs,,NGOs and CSOs,5291
RCN Justice Democratie,NGOs,,NGOs and CSOs,5583
RCO,Other,,Other,2305
RCT,Other,,Other,1732
RDN,Private sector corporations,,Other,2002
REA - Réhabilitation  Education Aide social,NGOs,,NGOs and CSOs,64
Reach Alternatives,NGOs,International NGO,NGOs and CSOs,4961
Reach Alternatives (formerly Japan Center for Conflict Prevention),NGOs,,,NA
REACH Initiative,Academia/think/research,,NGOs and CSOs,7292
Reach Out,NGOs,,NGOs and CSOs,3581
Reach out Foundation for Human Development,Private sector corporations,,Other,1186
Reach Out Initiative,NGOs,,NGOs and CSOs,5277
Reach Vulnerable,Other,,Other,6313
Reaching People in Need,NGOs,,,10416
Real Medicine Foundation,NGOs,International NGO,NGOs and CSOs,5102
Real Relief,Private sector corporations,,Other,10709
Rebatisseurs de la muraille des oeuvres de Dieu,NGOs,,NGOs and CSOs,1918
Rebuild and Relief International NGO gGmbH,NGOs,International NGO,NGOs and CSOs,1185
Rebuild Hope for Africa,NGOs,Local NGO,NGOs and CSOs,8438
Rebuild Iraq Recruitment Program,NGOs,International NGO,NGOs and CSOs,950
Rebuild Iraq Recruitment Program | Qatar Red Crescent Society,Red Cross,,RCRC,NA
Rebuild Syria Reconstruction Program,NGOs,International NGO,NGOs and CSOs,8917
RECSASEC - Regional Centre on Small Arms and Light Weapons,Private individual/organisation,,NGOs and CSOs,1591
Red Crescent Society of Azerbaijan,Red Cross,,RCRC,3378
Red Crescent Society of Kyrgyzstan,Red Cross,,RCRC,4131
Red Crescent Society of Tajikistan,Red Cross,,RCRC,134
Red Crescent Society of the Islamic Republic of Iran,Red Cross,,RCRC,4729
Red Crescent Society of the United Arab Emirates,Red Cross,,RCRC,3197
Red Crescent Society of Uzbekistan,Red Cross,,RCRC,4201
Red Cross of Cape Verde,Red Cross,,RCRC,2148
Red Cross of Monaco,Red Cross,,RCRC,2457
Red Cross of Montenegro,Red Cross,,RCRC,4688
Red Cross of Serbia,Red Cross,,RCRC,3998
Red Cross of the Democratic Republic of the Congo,Red Cross,,RCRC,2151
Red Cross of Viet Nam,Red Cross,,RCRC,2480
Red Cross Organizations | NGOs | UN Agencies,Undefined,,Other,NA
Red Cross Organizations | UN Agencies,Undefined,,Other,NA
Red Cross Organizations | UN Agencies | NGOs,Undefined,,Other,NA
Red Cross Society of Bosnia and Herzegovina,Red Cross,,RCRC,3203
Red Cross Society of China,Red Cross,,RCRC,2053
Red Cross Society of Georgia,Red Cross,,RCRC,2667
Red Cross Society of Niger,Red Cross,,RCRC,2958
Red Cross Society of Panama,Red Cross,,RCRC,4365
Red Cross Society of the Democratic People's Republic of Korea,Red Cross,,RCRC,2022
Red Cross Society of the Republic of Moldova,Red Cross,,RCRC,4196
Red de Casas Don Bosco,NGOs,National NGO,NGOs and CSOs,10239
REDOG,Other,,Other,5
RedR,NGOs,International NGO,NGOs and CSOs,3824
RedR UK,NGOs,International NGO,NGOs and CSOs,1538
Reform Society,Other,,Other,7892
Refugee Consortium of Kenya,NGOs,,NGOs and CSOs,3170
Refugee Studies Centre,Academia/think/research,,NGOs and CSOs,4404
Refugee Trust,NGOs,,NGOs and CSOs,4746
Refugees International,NGOs,,NGOs and CSOs,1287
RefuSHE,NGOs,Southern International NGO,NGOs and CSOs,3415
RefuSHE (Former Heshima Kenya),NGOs,National NGO,NGOs and CSOs,NA
Regional Centre Small Arms Light Weapons,Private individual/organisation,,NGOs and CSOs,5246
Regional Development and Protection Programme in the Middle East,Other multi,,Other multi,8276
Regional Developmetn Protection Programme - Horn of Africa,Other multi,,Other multi,8795
"Regionally-hosted Pooled Fund, Central and West Africa",CBPF,,UN Multi,11991
Regnskogfondet,Foundations,,NGOs and CSOs,4897
Rehabilitation and Research Centre for Torture Victims,NGOs,,NGOs and CSOs,3227
Rehabilitation International,NGOs,,NGOs and CSOs,1520
"Rehabilitation, Education And Community Health",NGOs,National NGO,NGOs and CSOs,6237
Relationships Foundation International,Foundations,,NGOs and CSOs,4730
Relief and Development Peer Foundation,NGOs,National NGO,NGOs and CSOs,7628
Relief and Humanitarian Aid Organisation in Dar al Fatwa,NGOs,National NGO,NGOs and CSOs,8098
Relief and Mediation Corps,NGOs,National NGO,NGOs and CSOs,8910
Relief and Recovery Unit - Zimbabwe,UN Multi,,UN Multi,82
Relief Experts Association,NGOs,,,11029
Relief International,NGOs,International NGO,NGOs and CSOs,4405
Relief Pakistan,NGOs,,NGOs and CSOs,4167
Relief Society of Tigray,,,,3033
Religiosas de Jesus-Maria,Private individual/organisation,,NGOs and CSOs,3258
Religiosas Franciscanas Mision,Private individual/organisation,,NGOs and CSOs,3257
Religiosas Hermanas Terciarias,Private individual/organisation,,NGOs and CSOs,4412
Reltex,Private sector corporations,,Other,12156
Remedial English and Science Course Centre,Academia/think/research,,NGOs and CSOs,4400
Remotecoders,Private sector corporations,,Other,12344
Render Effective Aid to CHildren,Undefined,,Other,729
René Moawad Foundation,NGOs,National NGO,NGOs and CSOs,6125
Reporters Sans Frontières,NGOs,,NGOs and CSOs,1342
Representative of Nineveh Voluntary for Internally Displaced Persons Organization,NGOs,National NGO,NGOs and CSOs,7389
Reprise de Justesse,NGOs,,NGOs and CSOs,3267
Republic of Guinea,National government,,,11652
Republic of Korea National Red Cross,Red Cross,,RCRC,3038
Republic of South Sudan,National government,,Public Sector,1920
Rescue South Africa,NGOs,,NGOs and CSOs,4236
Rescue Team International,NGOs,National NGO,NGOs and CSOs,7961
Research Council of Norway,Academia/think/research,,NGOs and CSOs,5648
Reseau des Entrepreneurs Solidaires,NGOs,International NGO,NGOs and CSOs,4994
Reseau National des droits humains,NGOs,National NGO,NGOs and CSOs,5626
Resident Coordinators Support Office,UN Multi,,UN Multi,2329
Response International,NGOs,,NGOs and CSOs,3914
Responsive,Other,,Other,1500
Responsiveness for Relief and Development,NGOs,National NGO,NGOs and CSOs,6603
REST - Relief Society of Tigray,NGOs,Local NGO,NGOs and CSOs,NA
Restart Center for Rehabilitation of Victims of Violence and Torture,NGOs,National NGO,NGOs and CSOs,1728
Restoration of Hope Initiative,NGOs,National NGO,NGOs and CSOs,9141
Results Japan,Other,,Other,799
RET International (Former The Foundation for the Refugee Education Trust till 2014),NGOs,International NGO,NGOs and CSOs,3563
RHA,Private sector corporations,,Other,NA
Right to Live Society,NGOs,,NGOs and CSOs,3322
Right to Play,NGOs,International NGO,NGOs and CSOs,3294
Ripley,Private sector corporations,,Other,4053
Riverine Relief Program,Private individual/organisation,,NGOs and CSOs,5219
Riverside Technologies Inc.,Private sector corporations,,Other,2899
Rockefeller Foundation,Foundations,,NGOs and CSOs,5174
ROFI Industrier AS,Private sector corporations,,Other,78
ROIA Information and Communication Technology,NGOs,Southern International NGO,NGOs and CSOs,7624
ROKPA,NGOs,,NGOs and CSOs,2093
Roles for Social Change Association,NGOs,National NGO,NGOs and CSOs,526
Romania,National government,,Public Sector,89
Romanian Red Cross,Red Cross,,RCRC,4786
Ronahee Foundation,NGOs,National NGO,NGOs and CSOs,9295
RONCO Consulting Corporation,Private sector corporations,,Other,4815
Root of Grass,Other,,Other,3367
ROPKA International,NGOs,,NGOs and CSOs,3526
Rosalia Hoog,Other,,Other,3211
Roshni Development Organization,NGOs,,NGOs and CSOs,5012
ROSSAIR,Private sector corporations,,Other,3839
Rotary Club of Shanghai,NGOs,,NGOs and CSOs,3282
Rotary Fiji,Private individual/organisation,,NGOs and CSOs,6096
Rotary International,NGOs,International NGO,NGOs and CSOs,4824
Rotary New Zealand World Community Service,NGOs,,,11550
Royal Health Awareness Society,NGOs,National NGO,NGOs and CSOs,6126
RTI International,Academia/think/research,,Other,4889
RTI International (formerly Research Triangle Institute),Academia/think/research,,NGOs and CSOs,NA
Ruedi Leuppi Stiftung Elfenbeinküste,Foundations,,NGOs and CSOs,4960
Ruedi Lüthy Foundation,NGOs,International NGO,NGOs and CSOs,8803
Rufaida Health Foundation,NGOs,National NGO,NGOs and CSOs,3904
Rumänienhilfe e.V.,,,,75
Rumänienhilfe Liebenau,NGOs,,NGOs and CSOs,NA
Rumänienhilfe Schärding,NGOs,,NGOs and CSOs,NA
Rural Agency for Community Development and Assistance,NGOs,Southern International NGO,NGOs and CSOs,6492
Rural Capacities Development Committee,Other,,Other,5855
Rural Centre for Sustainable Development,Other,,Other,2248
Rural Community Action for Peace and Development,NGOs,National NGO,NGOs and CSOs,988
Rural Development Foundation,Foundations,,NGOs and CSOs,3622
Rural Development Initiative Pakistan,NGOs,,NGOs and CSOs,392
Rural Development Initiative South Sudan,NGOs,National NGO,NGOs and CSOs,883
Rural Development Project,Private individual/organisation,,NGOs and CSOs,5051
Rural Education and Agriculture Development Organization,NGOs,National NGO,NGOs and CSOs,677
Rural Empowerment and Institutional Development,Other,,Other,788
Rural Focus,NGOs,,NGOs and CSOs,4902
Rural Health Services,Academia/think/research,,Other,9618
Rural Organization for Advocacy and Development International,NGOs,Southern International NGO,NGOs and CSOs,1022
Rural Reconstruction Nepal,Academia/think/research,,NGOs and CSOs,1867
Rural Support Programmes Network,Other,,Other,2745
Rural Water and Sanitation Support Agency,National government,,Public Sector,5910
Rural Women for Development South Sudan,NGOs,,,9717
Rural Women's Development Society,NGOs,National NGO,NGOs and CSOs,3738
Russian Federation,National government,,Public Sector,3006
Russian Red Cross Society,Red Cross,,RCRC,4030
Rwanda,National government,,Public Sector,90
Rwandan Red Cross,Red Cross,,RCRC,2851
RWSSP,Private individual/organisation,,NGOs and CSOs,2802
Réseau des associations congolaises des jeunes du Nord-Kivu,NGOs,,,11547
SAACID,NGOs,,NGOs and CSOs,2313
Sabe' a Sanabul Organization for Relief and Development,,,,9252
Sabe' Sanabal Organization for Relief and Development,NGOs,Undefined NGO,NGOs and CSOs,NA
Sabou Guinee,NGOs,,NGOs and CSOs,4347
Sad Africa,NGOs,,NGOs and CSOs,378
Sada Al Irak Organisation,NGOs,,NGOs and CSOs,4467
Sadad Humanitarian Organization,NGOs,Southern International NGO,NGOs and CSOs,7559
SADEL,Private sector corporations,,Other,7377
SADRI,Other,,Other,3403
Saed Charity Association,NGOs,,,6768
Saeker Charitable Society,NGOs,National NGO,NGOs and CSOs,5900
SAF - Science and Arts Foundation,Foundations,,NGOs and CSOs,3929
Safa Marwa Relief and Development Organization,Other,,Other,1131
Safadi Foundation,NGOs,National NGO,NGOs and CSOs,6127
SAFDF,Other,,Other,6534
SaferAfrica,NGOs,,NGOs and CSOs,5328
Saferworld,NGOs,International NGO,NGOs and CSOs,4265
Saga Falabella,Private sector corporations,,Other,2039
Sage Organisation,NGOs,,NGOs and CSOs,3565
Sagric Intenational Pty Ltd,Private sector corporations,,Other,1963
SAH - Schweizerisches Arbeiterhilfswerk,NGOs,,NGOs and CSOs,116
Sahara Economic Development Organization,NGOs,National NGO,NGOs and CSOs,7638
Sahkar Dost Welfare Association,NGOs,,NGOs and CSOs,6334
Saint Barbara Foundation,Foundations,,NGOs and CSOs,5374
Saint Kitts and Nevis,National government,,Public Sector,6271
Saint Kitts and Nevis Red Cross Society,Red Cross,,RCRC,2534
Saint Lucia,National government,,Public Sector,1413
Saint Vincent and the Grenadines,National government,,Public Sector,5561
Saint Vincent and the Grenadines Red Cross,Red Cross,,RCRC,4197
Salama Medical Agency,NGOs,Local NGO,NGOs and CSOs,4224
Salesian Missions,Private individual/organisation,,NGOs and CSOs,4884
Salient Humanitarian Organization,NGOs,,,9399
Salute e Sviluppo ONG,NGOs,International NGO,NGOs and CSOs,8955
Salvadorean Red Cross Society,Red Cross,,RCRC,2056
Salvation Army,NGOs,International NGO,NGOs and CSOs,3366
SAM - Schweizer Allianz Mission,NGOs,,NGOs and CSOs,5254
Sama Al-Yemen Development Foundation,NGOs,Local NGO,NGOs and CSOs,7156
Samaritan's Purse,NGOs,International NGO,NGOs and CSOs,53
Samenwerkende Hulporganisaties,NGOs,,NGOs and CSOs,4431
Samerådet,Other,,Other,1516
Sametinget,Other,,Other,456
Samir Kassir Foundation,Foundations,,NGOs and CSOs,4747
Samis,Other,,Other,4373
Samisk Høgskole,Academia/think/research,,NGOs and CSOs,3671
Samoa,National government,,Public Sector,3307
Samoa Red Cross Society,Red Cross,,RCRC,3596
SAMPAN'ASA MOMBA NY FAMPANDROSOANA,NGOs,International NGO,NGOs and CSOs,12013
Samusocial International,NGOs,International NGO,NGOs and CSOs,7137
Samusocial Peru,NGOs,,NGOs and CSOs,4366
San Remo Institute for Humanitarian Law,Academia/think/research,,NGOs and CSOs,2296
Sanabel For Development,NGOs,National NGO,NGOs and CSOs,9057
SANAD Charity Foundation,NGOs,,NGOs and CSOs,2103
SANAR YURDATAPAN  - FEA,Other,,Other,3748
Sangtani Women Rural Development Organization,NGOs,,NGOs and CSOs,305
Sanitary of Epidemiological Station,Other,,Other,4673
Sanjh Preet Organization,NGOs,National NGO,NGOs and CSOs,7577
SANOFI,Private sector corporations,,Other,1882
Sant''Egidio,Other,,Other,567
Santa Isabel Market,Private sector corporations,,Other,4042
Sante Sud,NGOs,International NGO,NGOs and CSOs,723
Santé Diabète,NGOs,,NGOs and CSOs,3972
Santé Mali Rhône Alpes,NGOs,,NGOs and CSOs,724
Santé pour le Développement et la Stabilité dâ€™Haïti,Other,,,NA
Santé pour le Développement et la Stabilité d’Haïti,NGOs,,NGOs and CSOs,580
Santé Rurale,NGOs,National NGO,NGOs and CSOs,9387
Sarhad Rural Support Programme,NGOs,Local NGO,NGOs and CSOs,136
Sarvodaya Shramadana Movement,NGOs,National NGO,NGOs and CSOs,4878
Sath Development Organization,NGOs,,NGOs and CSOs,NA
Sath Development Society,NGOs,Local/National NGO,NGOs and CSOs,5261
Satunama,NGOs,,NGOs and CSOs,359
Saudi Arabia (Kingdom of),National government,,Public Sector,2998
Saudi Arabian Red Crescent Society,Red Cross,,RCRC,5358
Save and Serve,NGOs,,NGOs and CSOs,5081
Save Congo,NGOs,National NGO,NGOs and CSOs,8854
Save Lives Initiative South Sudan,NGOs,National NGO,NGOs and CSOs,9127
Save Somali Women and Children,NGOs,National NGO,NGOs and CSOs,3073
Save the Children,NGOs,International NGO,NGOs and CSOs,2849
Save the Children Jordan,NGOs,,,NA
Save the Children Kurdistan,NGOs,,,NA
Save the Children Viet Nam,NGOs,,,NA
Save Youth Future Society,NGOs,National NGO,NGOs and CSOs,6508
Sawa Organization,NGOs,,NGOs and CSOs,752
Sawaid Health Organization,NGOs,,NGOs and CSOs,1492
Saúde em Português,NGOs,,NGOs and CSOs,3509
SC - Caritas,NGOs,,NGOs and CSOs,4996
SC/US and World Vision,Other,,Other,2032
Scanagri,Private sector corporations,,Other,3586
Scandinavian Children's Mission,NGOs,,NGOs and CSOs,1469
SCD-RB,Other,,Other,3877
School of Tomorrow Ltd,Private individual/organisation,,NGOs and CSOs,8894
Schools Association for Formal Education,Other,,Other,5211
Schönstätter Marienschwestern,NGOs,International NGO,NGOs and CSOs,8800
Scoop Group,Private sector corporations,,Other,9323
Scottish Catholic International Aid Fund,NGOs,,NGOs and CSOs,3023
SDGs Promise Japan,NGOs,International NGO,NGOs and CSOs,773
SDW,Other,,Other,3296
SE-SINAPRED,Other,,Other,3429
Search for Common Ground,NGOs,International NGO,NGOs and CSOs,2172
Sebil Insani Yardim Dernegi,Foundations,,Other,11091
Second Harvest Japan,Private individual/organisation,,NGOs and CSOs,4558
Secours Catholique - Caritas France,NGOs,International NGO,NGOs and CSOs,NA
Secours Catholique et Développement,NGOs,International NGO,NGOs and CSOs,3572
Secours Catholique â€“ Caritas France,NGOs,,,NA
Secours Catholique – Caritas France,NGOs,,,4057
Secours Islamique,NGOs,,NGOs and CSOs,NA
Secours Islamique France,NGOs,International NGO,NGOs and CSOs,6363
Secours Populaire Francais,NGOs,International NGO,NGOs and CSOs,1273
Secretariado Diocesano de Pastoral Social,NGOs,Local NGO,NGOs and CSOs,7790
Sedec-Hudec,Other,,Other,3215
SEEDS Foundation,NGOs,,,7792
Seeds of Hope (Bozzor Alamal),NGOs,Southern International NGO,NGOs and CSOs,8974
Seeds of Peace,NGOs,,NGOs and CSOs,2727
SEEMA Center for Training and Protection of Women and Child's Rights,NGOs,,NGOs and CSOs,1147
Seestern e.V.,NGOs,,NGOs and CSOs,4685
"Seismic Research Unit, Univ. of West Indies",Academia/think/research,,NGOs and CSOs,4644
Seismic Risk Assessment and Mitigation in the Antakya-Maras Region,Other,,Other,3540
Selah Foundation for Development,Foundations,,Other,11138
Self Employment Womens' Association,NGOs,,NGOs and CSOs,109
Self Help Africa,NGOs,International NGO,NGOs and CSOs,11096
Senegal,National government,,Public Sector,2784
Senegalese Red Cross Society,Red Cross,,RCRC,3724
Senter for Krisepsykologi,Academia/think/research,,NGOs and CSOs,5812
"Senter for kunnskap og likestilling, Kvinneuniversitetet Nord",Academia/think/research,,NGOs and CSOs,1540
Sentinelles,Other,,Other,2353
Serbia,National government,,Public Sector,5634
Serbia and Montenegro,National government,,Public Sector,3826
Serve Pastoralist International,NGOs,,NGOs and CSOs,679
Service Health Relief Development Organization,Private individual/organisation,,NGOs and CSOs,5108
SERVICE INT. POUR LES DROITS DE L HOMME,Other,,Other,1360
Service Social International,NGOs,,NGOs and CSOs,2034
Servicio Jesuita a Refugiados Latinoamerica y el Caribe,NGOs,,,9938
SERVICIO PAZ Y JUSTICIA,Other,,Other,2690
Serviço Pastoral dos Migrantes,NGOs,National NGO,NGOs and CSOs,9906
Sesame Workshop,NGOs,International NGO,NGOs and CSOs,11624
Sewa Development Trust Sindh,Other,,Other,6309
Sewa Lanka Foundation,Foundations,,NGOs and CSOs,1529
Sewalanka,NGOs,,NGOs and CSOs,5022
Seychelles,National government,,Public Sector,91
Seychelles Red Cross Society,Red Cross,,RCRC,2475
Sezam,NGOs,,NGOs and CSOs,4112
SFCG/RDC,NGOs,,NGOs and CSOs,6885
SGS,Private sector corporations,,Other,9283
SHA/NRE,Other,,Other,3388
Shabelle Relief and Development Organization,,,,7315
Shabelle Relief and Development Organization - SRDO,NGOs,National NGO,NGOs and CSOs,NA
Shafak Organization,NGOs,Southern International NGO,NGOs and CSOs,8080
Shafaq Rehabilitation Organization (SHA),Undefined,,Other,1398
Shah Sachal Sami Foundation,NGOs,,NGOs and CSOs,6479
Shahrukhi Rehabilitation Project,NGOs,,NGOs and CSOs,5475
Sham for Health Association,NGOs,,,NA
SHAML - Palestinian Diaspora and Refugee Center,NGOs,,NGOs and CSOs,4877
Shanti Volunteer Association,NGOs,International NGO,NGOs and CSOs,520
SHAPLA NEER = Citizensâ€™ Committee in Japan for Overseas Support,NGOs,,,NA
SHAPLA NEER = Citizens’ Committee in Japan for Overseas Support,NGOs,,,11490
Shaqodoon Organization,NGOs,National NGO,NGOs and CSOs,8864
Sharaja,Other,,Other,3131
SHARE,Undefined,,Other,NA
Share Association of Guatemala,Other,,Other,NA
Share our Strength,Private individual/organisation,,NGOs and CSOs,1777
Sharek Youth Forum,NGOs,,NGOs and CSOs,2264
Sharjah Charity House,Private individual/organisation,,NGOs and CSOs,5849
Sharukhi Rehabilitation Project,Other,,Other,1405
SHASSMEPPE,NGOs,,NGOs and CSOs,7142
Sheikh Thani Bin Abdullah Foundation for Humanitarian Services,Foundations,,Other,477
Sheikh Thani bin Abdullah Foundation for Humanitarian Services (RAF),NGOs,,NGOs and CSOs,NA
Shelter Centre,NGOs,International NGO,NGOs and CSOs,3932
Shelter for Life,NGOs,,NGOs and CSOs,2824
Shelter Now International,NGOs,,NGOs and CSOs,3782
ShelterBox,NGOs,,NGOs and CSOs,3705
Sherrit,Private sector corporations,,Other,3270
Shifa Foundation,Foundations,,NGOs and CSOs,478
SHIFT,Private sector corporations,,Other,3889
Shilale Rehabilitation and Ecological Concern,NGOs,,NGOs and CSOs,5223
Shining Future Humanitarian Organization,NGOs,,NGOs and CSOs,3863
Shining Light Community Development Organization,NGOs,,NGOs and CSOs,6846
Sibro Organization for Development,NGOs,,NGOs and CSOs,1570
Sidra Organization for Development and Reconstruction,NGOs,Undefined NGO,NGOs and CSOs,8905
Sierra Leone,National government,,Public Sector,5605
Sierra Leone Red Cross Society,Red Cross,,RCRC,4195
SIG - Canton's Industrial Services - Geneve (CH),Other,,Other,4770
Sign of Hope,NGOs,,NGOs and CSOs,NA
Silatech Organization,NGOs,,,8215
Silk Road Organization,NGOs,Southern International NGO,NGOs and CSOs,8091
SIM Canada,NGOs,,NGOs and CSOs,4755
Sindh Agriculture and Forestry Workers Cooperation Organization,Private individual/organisation,,NGOs and CSOs,254
Sindh Radiant Organisation,Private individual/organisation,,NGOs and CSOs,6293
Singapore,National government,,,92
Singapore International Foundation,Foundations,,NGOs and CSOs,4756
Singapore Red Cross Society,Red Cross,,RCRC,2173
Siriri,NGOs,International NGO,NGOs and CSOs,7475
Skeiv Solidaritet,NGOs,,NGOs and CSOs,1369
Skills Active Forward,NGOs,International NGO,NGOs and CSOs,6635
SKT Organization,NGOs,,,9012
SKUPAJ,Foundations,,NGOs and CSOs,6407
SkyLink,Private sector corporations,,Other,4892
Slavik,Other,,Other,29
Slovak Red Cross,Red Cross,,RCRC,2082
Slovakia,DAC governments,,Public Sector,93
Slovenian Red Cross,Red Cross,,RCRC,2202
Small Arms Survey,Academia/think/research,,NGOs and CSOs,1537
Smile Again Africa Development Organization,NGOs,National NGO,NGOs and CSOs,995
SMU - Strategic Monitoring Unit (Afghanistan),UN Multi,,UN Multi,2215
SNG,Other,,Other,3082
Social and Humanitarian Assistance Organization,Other,,Other,6100
Social Care Society in Hama,NGOs,,,11342
Social Development Hodeidah Girls Foundation,NGOs,,,7931
Social Development International - SDI,NGOs,,,8667
Social Economical Environmental Developers,NGOs,,NGOs and CSOs,4993
Social Fund for Development,NGOs,,,8289
Social Humanitarian Economical Intervention for Local Development,NGOs,National NGO,NGOs and CSOs,536
Social Impact,NGOs,,NGOs and CSOs,3589
Social Life and Agricultural Development Organisation,NGOs,Southern International NGO,NGOs and CSOs,167
Social Services Program,NGOs,,NGOs and CSOs,6477
Social Solidarity Organisation,Private individual/organisation,,NGOs and CSOs,2335
"Social, Humanitarian, Economical Intervention for Local Developmen",NGOs,National NGO,NGOs and CSOs,NA
SOCIETE DE COOPERATION POUR LE DEVELOPPEMENT DE FIZI  (SOCOODEFI),NGOs,,NGOs and CSOs,4590
Society Development Initiative Organization,Private individual/organisation,,NGOs and CSOs,335
Society for Appraisal and Women Empowerment in Rural Areas,NGOs,Local NGO,NGOs and CSOs,6380
Society for Awareness and Change,Other,,Other,6400
Society for Community Development,NGOs,,NGOs and CSOs,6648
Society for Conservation and Protection of Environment,Private individual/organisation,,NGOs and CSOs,6392
Society for Human and Environmental Development,NGOs,Local NGO,NGOs and CSOs,7593
Society for Human and Institutional Development,NGOs,,NGOs and CSOs,5777
Society for Human Emancipation and Development,Private individual/organisation,,NGOs and CSOs,127
